,title,price,link
10,"Lenovo Thinkpad P14s 13th Gen Intel Core i7 14""(35.56 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/512GB SSD/Win 11 Pro/Backlit/Villi Black/3Y Premier/NVIDIA RTX A500 4GB/1.34Kg), 21HF001FIG  ","1,27,491",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDExNTg1OTM4OTY2MDA2OjE3Mjk1OTkxNjk6c3BfbXRmOjMwMDE2NjY3MzE0NDUzMjo6MDo6&url=%2FLenovo-Thinkpad-300nits-Workstation-21HF001FIG%2Fdp%2FB0CVQZTV6V%2Fref%3Dsr_1_156_sspa%3Fcrid%3D3KHNT4HXJ08W6%26dib%3DeyJ2IjoiMSJ9.VuLMylXYjIrZxxz9LixIRfKMMgSs3uDIowPsffDi8KjRXqtM4_2qP_8FsPwLbZpIuCrFH4RIFzLU6unuN0T2xb6Di_cmYHE6LtffxR974MzSRLSohH6pnSIRiGadF8QAoFmVNIMRryF9MeVg64jxWg0Qkf-Kr1Ha3n5Dz6sMiXz4grJnIkBfQf1-SSpjyTs8XrWiimw0rFWqxG3IOIxwggE-YW89qN7QXQHy88I0nq0.WwGN9DdWnn5iQJkKJKUVrD-_T_coQEXUEPf3u8Ubs3I%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1729599169%26sprefix%3Dlaptops%252Caps%252C524%26sr%3D8-156-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
11,"Dell Inspiron 3520 Laptop, Intel 12th Generation i3-1215U Processor, 8GB DDR4, 512GB SSD, 15.6"" FHD 120Hz Display, Win 11 + MSO'21 & 15 Month McAfee, Black Color, Thin & Light- 1.65kg  ","34,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTU0ODk5MDA2NjM5OTUwOjE3Mjk1OTkxNzU6c3BfYXRmX25leHQ6MzAwMzQ3MjMzNjU1MDMyOjowOjo&url=%2FDell-Inspiron-Generation-i3-1215U-Processor%2Fdp%2FB0CWLKKR58%2Fref%3Dsr_1_178_sspa%3Fcrid%3D3KHNT4HXJ08W6%26dib%3DeyJ2IjoiMSJ9.BecBvAJ9sTHfu7rMzQWH3z5SQ2T6xK6zdrs8VAeXTLBe9UY1_R_LwMKARccmTpuOYlJQMRXKJbZ6ZRshAWOgdWdLxr1jkF4n8vCRxlFGIs2DUes74HTMBPXq9xOBLlF7STymgj5MiLMGis3nfM5dvQNDJjDUAxjKMkPp5Gz7VJ17swrFuJHGdL2M1tV2VgP_3x07DTP5cVXyU_Z-5u3MFcxnHK4HwSZQEOqSvypTCyk.9F0qL8wRmdqeZ8WouXukq7ewQyMGrXvH5C_8wgYTCDU%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1729599175%26sprefix%3Dlaptops%252Caps%252C524%26sr%3D8-178-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
12,"HP Pavilion Plus, 12th Gen Intel Core i5 16GB RAM/512GB SSD 14 inch(35.6 cm) Creator Laptop with Eye Safe Display/Intel Iris Xe Graphics/Backlit KB/B&O/FPR/Win 11/Alexa/MSO,14-eh0025TU Warm Gold  ","71,550",https://www.amazon.in/HP-Pavilion-Display-Graphics-14-eh0025TU/dp/B0B3J1S3X1/ref=sr_1_228?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.TCfR8gM8bR2BQJNGij6WTbgXQxk6FCb21vwWofU50VkjtejWYlghy-DGo3TyJBXP0d9HcpOiM4UfutjgHrmzGPIFhC5UmMJb6BdX0BBDIDONxoiZgRaVuzAXLQElsIlljUMEP2P9S0OrKR1JoaJ8djLGkWf9qEv15yLyXWlQOeXDFzXkcfJtOCks23e25QFXV14nPaIBL2RkA-8kye3aAClGGnumlKtP8PEFuchXqY4.texsSGQDVnGcs6jrYDOArKJO_qAx-L4jeZi-DOriOQE&dib_tag=se&keywords=laptops&qid=1729599185&sprefix=laptops%2Caps%2C524&sr=8-228
13,"Dell [Smartchoice] G15 5530 Gaming Laptop, Intel i7-13650HX Processor/16GB/1TB SSD/NVIDIA RTX 3050, 6 GB GDDR6/15.6"" (39.62cm) FHD 120Hz 250 nits/Backlit KB RGB/Dark Shadow Grey/Win 11+MSO'21/2.65kg  ","1,01,890",https://www.amazon.in/Dell-Gaming-i7-13650HX-39-62cm-Backlit/dp/B0CDBP1N8B/ref=sr_1_242?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.TCfR8gM8bR2BQJNGij6WTbgXQxk6FCb21vwWofU50VkjtejWYlghy-DGo3TyJBXP0d9HcpOiM4UfutjgHrmzGPIFhC5UmMJb6BdX0BBDIDONxoiZgRaVuzAXLQElsIlljUMEP2P9S0OrKR1JoaJ8djLGkWf9qEv15yLyXWlQOeXDFzXkcfJtOCks23e25QFXV14nPaIBL2RkA-8kye3aAClGGnumlKtP8PEFuchXqY4.texsSGQDVnGcs6jrYDOArKJO_qAx-L4jeZi-DOriOQE&dib_tag=se&keywords=laptops&qid=1729599185&sprefix=laptops%2Caps%2C524&sr=8-242
14,"Dell 15 Thin & Light Laptop, 13th Generation Intel Core i3-1305U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Windows 11 + MSO'21, 15 Month McAfee, Titan Grey, 1.69kg  ","38,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NDExNTg1OTM4OTY2MDA2OjE3Mjk1OTkxNjk6c3BfYXRmX25leHQ6MzAwMjcwMzYwNTE5MjMyOjowOjo&url=%2FDell-Generation-i3-1305U-Processor-39-62cm%2Fdp%2FB0D82XJMG1%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3KHNT4HXJ08W6%26dib%3DeyJ2IjoiMSJ9.VuLMylXYjIrZxxz9LixIRfKMMgSs3uDIowPsffDi8KjRXqtM4_2qP_8FsPwLbZpIuCrFH4RIFzLU6unuN0T2xb6Di_cmYHE6LtffxR974MzSRLSohH6pnSIRiGadF8QAoFmVNIMRryF9MeVg64jxWg0Qkf-Kr1Ha3n5Dz6sMiXz4grJnIkBfQf1-SSpjyTs8XrWiimw0rFWqxG3IOIxwggE-YW89qN7QXQHy88I0nq0.WwGN9DdWnn5iQJkKJKUVrD-_T_coQEXUEPf3u8Ubs3I%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1729599169%26sprefix%3Dlaptops%252Caps%252C524%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"HP 15s AMD Ryzen 5 5500u (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6"" (39.6 cm) + Backlit Keyboard/Silver / 1.69 kg/Dual Speakers) eq2304AU / Laptop  ","36,990",https://www.amazon.in/HP-15-6-inch-Graphics-Speakers-eq2304AU/dp/B0CY2P29D6/ref=sr_1_136?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.y16ieHGWwZHHuKxG3tJHw9ADdtMciUlDH0f8VGPM0GK1q7apjyozJhDOmegrUCW0kQ2XFQIDXBDD7hjs6jWL6DZCWcsM7D4BVCUsumzvmv-VyJkC5j20Ln7RWkL8Rh5EjJz85-rbvUqH7Nz7v8cjPBp3kgidEm4VrZW95Kx8STxMiOl40QhDgNXFKelant9u8to01wxVjDbqukBjtFCjpMltcMA0gsJTAMQcAc30oqs.cw8M_H1BMXfBnGTMNoflCdZcGEKpxlIK_A7FSqo_560&dib_tag=se&keywords=laptops&qid=1729599166&sprefix=laptops%2Caps%2C524&sr=8-136
16,"Dell Inspiron 5430 13th Gen Metal Body Laptop, Intel Core i5-1335U/16GB/ 512GB SSD/14.0"" (35.56cm) FHD+/Backlit KB + FingerPrintReader/Windows 11 + MSO'2/McAfee 15 Months/Thunderbolt 4.0 ​Port/1.59kg  ","64,490",https://www.amazon.in/Dell-Inspiron-i5-1335U-35-56Cms-Thunderbolt/dp/B0C1595WPW/ref=sr_1_209?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.QSpRRfzGoJgfRm8Ec6YsZMy5FKsv3eHfS_qp0GU44Uj5xzqqEiUeW7JK3XJ3_4X0dVuReNEAw51CImO9P5wq20U4GDXEy2LD39ay75oaK4WD6hAW06hb1iFX9MsUgxUs0oOhgdvndatiD0aD3Kc8rNohH1cEmRJr-xi2-YhDYwnTeUfMYwwSeAmuM0JESmKoaG6PudvIsbVoENpSn-LnqoQN-rP4ghe5Z0utk9COHHM.XA-Y3ftG3hViSeSRxLrklI7FfA1NvEApj-anpaUPFvo&dib_tag=se&keywords=laptops&qid=1729599179&sprefix=laptops%2Caps%2C524&sr=8-209
17,"MSI Cyborg 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (8GBx2/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 2050, GDDR6 4GB/Black/1.98Kg), A12UCX-264IN  ","54,990",https://www.amazon.in/MSI-Cyborg-15-i5-12450H-A12UCX-264IN/dp/B0C3HZ82LH/ref=sr_1_207?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.QSpRRfzGoJgfRm8Ec6YsZMy5FKsv3eHfS_qp0GU44Uj5xzqqEiUeW7JK3XJ3_4X0dVuReNEAw51CImO9P5wq20U4GDXEy2LD39ay75oaK4WD6hAW06hb1iFX9MsUgxUs0oOhgdvndatiD0aD3Kc8rNohH1cEmRJr-xi2-YhDYwnTeUfMYwwSeAmuM0JESmKoaG6PudvIsbVoENpSn-LnqoQN-rP4ghe5Z0utk9COHHM.XA-Y3ftG3hViSeSRxLrklI7FfA1NvEApj-anpaUPFvo&dib_tag=se&keywords=laptops&qid=1729599179&sprefix=laptops%2Caps%2C524&sr=8-207
18,"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5700U(16GB DDR4 RAM /512GB M.2 NVMe SSD/Windows 11 + MS Office 21/Backlit KB /15.6"" FHD 300Nits Anti Glare/1Yr ADP Free/Arctic Grey/1.65Kg), 82KU024GIN  ","42,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTkyOTgzMDI2MTA1MTQ2OjE3Mjk1OTkxNDY6c3BfbXRmOjMwMDM0ODA4NTY5NTMzMjo6MDo6&url=%2FLenovo-IdeaPad-Windows-Backlit-82KU024GIN%2Fdp%2FB0DC7PD74L%2Fref%3Dsr_1_28_sspa%3Fcrid%3D3KHNT4HXJ08W6%26dib%3DeyJ2IjoiMSJ9.cs_BFLh0J-jtg0eRsTHaiFrA9IYLm2PbjTOIueUCVwjqA2lVsn5f_QibypvlGZQEE7FG4rOTnmJfacpfIxuLbSM0LDFc0uc3ijTcNqL4QP79vqBuB_AUZ3bn2RQN_B3Y5gGIgVAEONESalMqUT_JDZMGmuNoD4m5Pz4OmiyNuIYwX4XmZKv8S_NFIlVIvGMw5dhS4PuWHLDEHx-tsVcvWBqFREUYZVcqAxSVXfl7lCY.LDwYHY770aIgrfYyLXvnTECndFp4rPve12rSKE0FiA0%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1729599146%26sprefix%3Dlaptops%252Caps%252C524%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
19,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","22,990",https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_296?crid=3KHNT4HXJ08W6&dib=eyJ2IjoiMSJ9.nNVnet5Ctm0m6jsOSxPwvcroXAVUKfE_l0r8q_1tlCzEjvgTUL8Na7_yfJFesUpzwE8VQBkPkGvVMaUXFjJo6xukfCKzYUUH1NDaQuaemcvsboUXUL0zbMZHYNy7s-QWlWNd5yw6pxEx9TUZvBeBGLHAcYUehS6N6F2oQvQ0o64xiUSsMXdf5mGo-Jfpr3f49IBdrO1UaBDSBF4O0R5cea6uHVP4aE16HCmwj3nnerI.Mb52bGFiqOQiu-rL7TM6i9-ZmsBZ69Izpqt5--5AqqQ&dib_tag=se&keywords=laptops&qid=1729599205&sprefix=laptops%2Caps%2C524&sr=8-296
